"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Language","ratchet and clank","","$0.00","(None)"
"1 - Bid option","English","ratchet and clank","","$0.0","(None)"
"1 - Bid option","French","ratchet and clank","","$0.0","(None)"
"1 - Bid option","German","ratchet and clank","","$0.0","(None)"
"1 - Bid option","Italian","ratchet and clank","","$0.0","(None)"
"1 - Bid option","Spanish","ratchet and clank","","$0.0","(None)"
"0 - Donation Goal","Any %","shadow complex","In addition to the 100% run","$200.00","$200.00"
"0 - Donation Goal","Hand Cam","mischief makers","We will display his hands on-stream if this is met.","$330.55","$250.00"
"0 - Donation Goal","100 %","super mario world 2: yoshi&#39;s island","For every $100 an additional world will be done 100%.","$620.63","$600.00"
"0 - Donation Goal","Shirtless Trihex","super mario world 2: yoshi&#39;s island","","$560.00","$300.00"
"0 - Donation Goal","DK Rap","donkey kong 64","cfox7 doesn&#39;t even know about this yet","$506.00","$500.00"
"0 - Bid War","Doors","super mario rpg","Top 4 doors will be picked, in that order.","$381.05","(None)"
"1 - Bid option","Door 6","super mario rpg","","$171.9","(None)"
"1 - Bid option","Door 4","super mario rpg","","$56.0","(None)"
"1 - Bid option","Door 5","super mario rpg","","$55.0","(None)"
"1 - Bid option","Door 3","super mario rpg","","$44.0","(None)"
"1 - Bid option","Door 1","super mario rpg","","$30.0","(None)"
"1 - Bid option","Door 2","super mario rpg","","$24.1","(None)"
"0 - Bid War","Filename","super mario rpg","8 Characters","$205.00","(None)"
"1 - Bid option","0xwas","super mario rpg","","$100.0","(None)"
"1 - Bid option","ApplBapl","super mario rpg","","$50.0","(None)"
"1 - Bid option","Lee","super mario rpg","","$30.0","(None)"
"1 - Bid option","Yellow","super mario rpg","","$10.0","(None)"
"1 - Bid option","MOESHA","super mario rpg","","$5.0","(None)"
"1 - Bid option","XmasPoon","super mario rpg","","$5.0","(None)"
"1 - Bid option","ZYXXY","super mario rpg","","$5.0","(None)"
"0 - Bid War","Bike Color","trials: evolution","","$33.51","(None)"
"1 - Bid option","peach","trials: evolution","","$13.5","(None)"
"1 - Bid option","yellow","trials: evolution","","$9.0","(None)"
"1 - Bid option","red","trials: evolution","","$6.0","(None)"
"1 - Bid option","Vergil colors","trials: evolution","","$5.0","(None)"
"0 - Donation Goal","Land of the Livid Dead","rayman or rayman origins","","$185.00","$200.00"
"0 - Bid War","Rayman vs Rayman Origins","rayman or rayman origins","","$2,225.63","(None)"
"1 - Bid option","Rayman","rayman or rayman origins","","$1,255.3","(None)"
"1 - Bid option","Rayman Origins","rayman or rayman origins","","$970.3","(None)"
"0 - Donation Goal","Good Ending","sonic cd","","$300.00","$300.00"
"0 - Bid War","Soundtrack","sonic cd","","$679.99","(None)"
"1 - Bid option","US","sonic cd","","$544.9","(None)"
"1 - Bid option","JP","sonic cd","","$135.0","(None)"
"0 - Donation Goal","Blindfolded","sonic 2","First few stages as sonic","$227.50","$200.00"
"0 - Bid War","Character","sonic 2","","$300.50","(None)"
"1 - Bid option","Knuckles","sonic 2","","$168.0","(None)"
"1 - Bid option","Sonic","sonic 2","","$132.5","(None)"
"0 - Donation Goal","Blindfolded","mike tyson&#39;s punch-out!!","","$594.50","$500.00"
"0 - Donation Goal","KO Mike Tyson","mike tyson&#39;s punch-out!!","","$160.50","$100.00"
"0 - Donation Goal","Midget Sandman glitch","mike tyson&#39;s punch-out!!","","$120.00","$50.00"
"0 - Donation Goal","100%","super mario bros. 3","","$1,684.83","$1,000.00"
"0 - Donation Goal","Frog Suit in World 8","super mario bros. 3","He&#39;ll do it, he really will","$100.00","$100.00"
"0 - Donation Goal","Expert Remix levels","super meat boy","","$553.00","$500.00"
"0 - Bid War","Character","binding of isaac","??? is not an option, sorry","$460.64","(None)"
"1 - Bid option","Judas","binding of isaac","","$175.6","(None)"
"1 - Bid option","Eve","binding of isaac","","$165.0","(None)"
"1 - Bid option","Cain","binding of isaac","","$100.0","(None)"
"1 - Bid option","Samson","binding of isaac","","$15.0","(None)"
"1 - Bid option","Isaac","binding of isaac","","$5.0","(None)"
"1 - Bid option","Magdalene","binding of isaac","","$0.0","(None)"
"0 - Donation Goal","Amnesia - Run in the Dark","amnesia: the dark descent","","$187.25","$420.00"
"0 - Bid War","Save/Kill Agrippa","amnesia: the dark descent","","$173.64","(None)"
"1 - Bid option","Save","amnesia: the dark descent","","$110.0","(None)"
"1 - Bid option","Kill","amnesia: the dark descent","","$63.6","(None)"
"0 - Donation Goal","Adam_AK take off his shirt.","left 4 dead","He still gets to keep the rest of his clothes on though ;)","$20.27","$420.00"
"0 - Donation Goal","No Survivors","left 4 dead","Finish the campaign without any survivors. Might just render the entire story pointless.","$261.00","$250.00"
"0 - Donation Goal","Fallout &amp; Fallout 2 One Handed","fallout","I wonder what Lee will use his second hand for?","$516.00","$515.00"
"0 - Bid War","Filename","fallout","11 Characters, counts for both Fallout and Fallout 2","$258.00","(None)"
"1 - Bid option","Mariko","fallout","","$109.0","(None)"
"1 - Bid option","RipardTeg","fallout","","$108.0","(None)"
"1 - Bid option","WHENSMARVEL","fallout","","$20.0","(None)"
"1 - Bid option","Eridan","fallout","","$11.0","(None)"
"1 - Bid option","Yes Man","fallout","","$10.0","(None)"
"0 - Bid War","Naeglaria Head Shave","shadow of the colossus","Decide whether he shaves his head or not. If you pick don&#39;t shave, you can also specify a style, e.g. Afro, Dredlocks, etc...","$610.00","(None)"
"1 - Bid option","Shave","shadow of the colossus","","$530.0","(None)"
"1 - Bid option","Don&#39;t Shave -&gt; Mullet","shadow of the colossus","","$40.0","(None)"
"1 - Bid option","Don&#39;t Shave -&gt; No Style","shadow of the colossus","","$40.0","(None)"
"1 - Bid option","Don&#39;t Shave -&gt; Afro","shadow of the colossus","","$0.0","(None)"
"1 - Bid option","Don&#39;t Shave -&gt; Dredlocks","shadow of the colossus","","$0.0","(None)"
"0 - Bid War","Mega Man 7 vs Mega Man 8","mega man 7 vs. mega man 8","","$2,406.43","(None)"
"1 - Bid option","Mega Man 7","mega man 7 vs. mega man 8","","$1,368.0","(None)"
"1 - Bid option","Mega Man 8","mega man 7 vs. mega man 8","","$1,038.4","(None)"
"0 - Bid War","Character","rockman and forte","","$416.00","(None)"
"1 - Bid option","Rockman","rockman and forte","","$275.0","(None)"
"1 - Bid option","Forte","rockman and forte","","$141.0","(None)"
"0 - Bid War","Mega Man 9 vs Mega Man 10","mega man 9 (superhero mode) or 10","Mega Man 9 in Superhero mode","$1,704.50","(None)"
"1 - Bid option","Mega Man 10","mega man 9 (superhero mode) or 10","","$1,057.0","(None)"
"1 - Bid option","Mega Man 9","mega man 9 (superhero mode) or 10","","$647.5","(None)"
"0 - Donation Goal","Jinny&#39;s Gangnam Style Dance","mega man x","","$497.50","$250.00"
"0 - Donation Goal","Shirtless Caleb Tri-Hex arm wrestle","mega man x","","$623.21","$600.00"
"0 - Donation Goal","Hard Mode","castlevania: aria of sorrow","","$37.00","$250.00"
