"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Champion&#39;s Road Run","super mario 3d world","Long, difficult, level with no checkpoints or powerups. Basically this game&#39;s Grandmaster Galaxy.","$1,043.00","$500.00"
"0 - Donation Goal","Extra Mode","kirby&#39;s dream land","AKA Hard Mode. More enemies, and harder bosses.","$602.00","$500.00"
"0 - Donation Goal","Hand Cam","kirby super star","Witness the glorious Plasma mash with your very own eyes.","$500.00","$500.00"
"0 - Donation Goal","Complete 4 Canary Mary Races","banjo-tooie","Regarded by many as one of the hardest challenges in the game.","$793.00","$750.00"
"0 - Bid War","Good vs. Bad ending","bioshock 2","","$1,565.00","(None)"
"1 - Bid option","Bad ending","bioshock 2","","$807.0","(None)"
"1 - Bid option","Good ending","bioshock 2","","$758.0","(None)"
"0 - Donation Goal","Amnesia Justine","amnesia: a machine for pigs","Have the runners play Amnesia Justine","$415.00","$400.00"
"0 - Bid War","Save or Kill the people","amnesia: a machine for pigs","Not as cute as animals, but with 100% more moral quandary","$931.00","(None)"
"1 - Bid option","Kill","amnesia: a machine for pigs","","$662.0","(None)"
"1 - Bid option","Save","amnesia: a machine for pigs","","$269.0","(None)"
"0 - Donation Goal","Sing the &quot;I am Impact!&quot; song","mystical ninja starring goemon","Who doesn&#39;t like a little Karaoke.","$351.00","$300.00"
"0 - Donation Goal","Show off the hidden treasure room","alex kidd in shinobi world","","$180.00","$150.00"
"0 - Bid War","Who plays as Tails?","sonic the hedgehog 2","Whoever it is still won&#39;t be as clutch as Celise.","$1,353.50","(None)"
"1 - Bid option","MisterMV","sonic the hedgehog 2","","$1,061.0","(None)"
"1 - Bid option","Blueglass","sonic the hedgehog 2","","$155.5","(None)"
"1 - Bid option","Harvey the Rabbit","sonic the hedgehog 2","","$83.0","(None)"
"1 - Bid option","deepfreeze","sonic the hedgehog 2","","$35.0","(None)"
"1 - Bid option","GiantWaffle","sonic the hedgehog 2","","$19.0","(None)"
"0 - Donation Goal","Play Eggmanland","sonic unleashed (day stages only)","","$750.00","$750.00"
"0 - Bid War","Scenario Choice","resident evil 2","","$791.00","(None)"
"1 - Bid option","Claire A","resident evil 2","","$422.0","(None)"
"1 - Bid option","Claire B","resident evil 2","","$212.0","(None)"
"1 - Bid option","Leon A","resident evil 2","","$90.0","(None)"
"1 - Bid option","Leon B","resident evil 2","","$67.0","(None)"
"0 - Donation Goal","Tofu-Man Minigame","resident evil 2","A parody of HUNK&#39;s &quot;The 4thSurvivor&quot; minigame.","$750.00","$750.00"
"0 - Bid War","File name","psychonauts","Up to 8 characters.","$330.00","(None)"
"1 - Bid option","MvLuck","psychonauts","","$220.0","(None)"
"1 - Bid option","Brains","psychonauts","","$70.0","(None)"
"1 - Bid option","Shiki","psychonauts","","$40.0","(None)"
"1 - Bid option","MilkMan","psychonauts","","$0.0","(None)"
"0 - Donation Goal","Play the Milkman cutscene","psychonauts","","$600.00","$600.00"
"0 - Bid War","Choose the ending","deus ex: human revolution","","$565.00","(None)"
"1 - Bid option","Sarif","deus ex: human revolution","","$299.0","(None)"
"1 - Bid option","Self Destruct","deus ex: human revolution","","$229.0","(None)"
