"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Music Level Showcase","Rayman Legends","Music Levels.! Rayman runs, jumps and spins through wonderfully silly, yet beautiful music levels to the tunes of Black Betty, Eye of the Tiger and others.","$1,115.01","$1,000.00"
"0 - Donation Goal","Fridge Powerup","Kirby 64: The Crystal Shards","Fight a boss with the Fridge Power.","$1,130.77","$1,000.00"
"0 - Donation Goal","Boss Endurance Mode","Kirby: Squeak Squad","Boss Endurance is an extra unlocked mode after beating the game. Watch Kirby go through Boss mode with different powerups from the normal playthrough.","$2,089.44","$2,000.00"
"0 - Donation Goal","Match Race: MD_Neo vs KVD","Super Mario Kart","One round of Match Race, pitting MD_Neo &amp; KVD versus each other on the most spectacular, dynamic multiplayer course of the game, Choco Island 1.","$2,879.19","$2,750.00"
"0 - Donation Goal","Bonus Game - Super Mario 64 (16 star)","Super Mario 64 Multiplayer","","$4,472.92","$4,000.00"
"0 - Bid War","File Name","The Legend of Zelda: Oracle of Ages","5 Character limit, A-Z only.","$1,773.00","(None)"
"1 - Bid option","Iwata","The Legend of Zelda: Oracle of Ages","","$732.0","(None)"
"1 - Bid option","Hafu","The Legend of Zelda: Oracle of Ages","","$540.0","(None)"
"1 - Bid option","Azura","The Legend of Zelda: Oracle of Ages","","$95.0","(None)"
"1 - Bid option","Citan","The Legend of Zelda: Oracle of Ages","","$60.0","(None)"
"1 - Bid option","Rink","The Legend of Zelda: Oracle of Ages","","$30.0","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: Oracle of Ages","","$26.0","(None)"
"1 - Bid option","SPOON","The Legend of Zelda: Oracle of Ages","","$25.0","(None)"
"1 - Bid option","Taswl","The Legend of Zelda: Oracle of Ages","","$25.0","(None)"
"1 - Bid option","Bunny","The Legend of Zelda: Oracle of Ages","","$20.0","(None)"
"1 - Bid option","Lonk","The Legend of Zelda: Oracle of Ages","","$20.0","(None)"
"1 - Bid option","Frisk","The Legend of Zelda: Oracle of Ages","","$15.0","(None)"
"1 - Bid option","Lint","The Legend of Zelda: Oracle of Ages","","$11.0","(None)"
"1 - Bid option","Zichz","The Legend of Zelda: Oracle of Ages","","$10.0","(None)"
"1 - Bid option","AGDQ","The Legend of Zelda: Oracle of Ages","","$0.0","(None)"
"1 - Bid option","Limit","The Legend of Zelda: Oracle of Ages","","$0.0","(None)"
"0 - Bid War","Pick the Animal Partner","The Legend of Zelda: Oracle of Ages","Pick one of the 3 animal companions for the run.","$2,333.00","(None)"
"1 - Bid option","Dimitri the Dodongo","The Legend of Zelda: Oracle of Ages","","$1,275.0","(None)"
"1 - Bid option","Moosh the Flying Bear","The Legend of Zelda: Oracle of Ages","","$946.0","(None)"
"1 - Bid option","Ricky the Kangaroo","The Legend of Zelda: Oracle of Ages","","$112.0","(None)"
"0 - Donation Goal","Strider 2 - All Stages","Strider 2","Play all 5 stages, rather than skip stages 2 and 3.","$500.00","$500.00"
"0 - Bid War","Game Bid War","Devil May Cry 4: Special Edition","Choose between Devil May Cry 3: Special Edition - Dante NG Normal or Devil May Cry 4: Special Edition Vergil NG Demon Hunter","$1,263.59","(None)"
"1 - Bid option","Devil May Cry 4: Special Edition - Vergil NG Devil Hunter","Devil May Cry 4: Special Edition","","$744.5","(None)"
"1 - Bid option","Devil May Cry 3: Special Edition - Dante NG Normal","Devil May Cry 4: Special Edition","","$519.0","(None)"
"0 - Donation Goal","Co-op with Optimus Prime","Transformers: Devastation","Halfcoordinated will play through the entire game one-handed while holding an Optimus Prime figure with the other.","$2,553.54","$2,500.00"
"0 - Bid War","Character choice","Resident Evil HD Remaster","","$2,170.50","(None)"
"1 - Bid option","Chris Redfield","Resident Evil HD Remaster","","$1,090.6","(None)"
"1 - Bid option","Jill Valentine","Resident Evil HD Remaster","","$1,079.8","(None)"
"0 - Donation Goal","Sing Hakuna Matata (Spanish Version)","The Lion King","Listen to TheMexicanRunner sing Hakuna Matata in Spanish if we meet this incentive.","$1,000.00","$1,000.00"
"0 - Donation Goal","Sephiroth Fight","Kingdom Hearts HD 1.5 ReMIX","Fight Sephiroth on Proud Mode, with Sora at Level 1","$10,095.94","$10,000.00"
"0 - Donation Goal","Sing Disney Songs","Kingdom Hearts HD 1.5 ReMIX","Top 5 songs get sung:","$8,865.91","$2,000.00"
